Zm00001d001820	
Zm00001d001820	Protochlorophyllide reductase1 
Zm00001d001820	NADPH-protochlorophyllide oxidoreductase, EC 1.3.1.33
Zm00001d003080	
Zm00001d003080	NAC transcription factor (Fragment) 
Zm00001d005897	
Zm00001d005897	Uncharacterized protein 
Zm00001d008911	
Zm00001d008911	Sodium/calcium exchanger family protein / calcium-binding EF hand family protein 
Zm00001d010137	
Zm00001d010137	Glucan endo-13-beta-glucosidase 14 
Zm00001d010193	
Zm00001d010193	Gibberellin-regulated protein 2 
Zm00001d010440	
Zm00001d010440	Bidirectional sugar transporter SWEET
Zm00001d010871	
Zm00001d010871	Thioredoxin F2 chloroplastic 
Zm00001d011358	
Zm00001d011358	Putative RING zinc finger domain superfamily protein 
Zm00001d011838	
Zm00001d011838	Glycosyltransferase family 61 protein 
Zm00001d013973	
Zm00001d013973	Uncharacterized protein 
Zm00001d016229	
Zm00001d016229	Uncharacterized protein 
Zm00001d017095	
Zm00001d017095	High-affinity nitrate transporter
Zm00001d017462	
Zm00001d017462	Ethylene-responsive transcription factor 1A 
Zm00001d017494	
Zm00001d017494	Expansin-B4 
Zm00001d018152	
Zm00001d018152	Protein SUPPRESSOR OF GENE SILENCING 3 
Zm00001d018322	
Zm00001d018322	Pathogenesis-related protein PR-1 
Zm00001d018685	
Zm00001d018685	Uncharacterized protein 
Zm00001d018722	
Zm00001d018722	Phosphoprotein phosphatase inhibitors 
Zm00001d019994	
Zm00001d019994	Fasciclin-like arabinogalactan protein 2  (Fasciclin-like arabinogalactan protein 8) 
Zm00001d020429	
Zm00001d020429	Protein kinase superfamily protein 
Zm00001d021781	
Zm00001d021781	Organic cation/carnitine transporter 3 
Zm00001d023781	
Zm00001d023781	Putative pumilio homolog 7 chloroplastic 
Zm00001d024234	
Zm00001d024234	Terpene synthase23 
Zm00001d025355	
Zm00001d025355	Invertase cell wall3 
Zm00001d025933	
Zm00001d025933	Downstream target of AGL15 2 
Zm00001d027411	
Zm00001d027411	Peroxidase, EC 1.11.1.7
Zm00001d029524	
Zm00001d029524	Uncharacterized protein 
Zm00001d031019	
Zm00001d031019	Homocysteine S-methyltransferase 2, EC 2.1.1.10 (S-methylmethionine:homocysteine methyltransferase 2, SMM:Hcy S-methyltransferase 2)  (ZmHMT-2) 
Zm00001d031019	Homocysteine S-methyltransferase 2 
Zm00001d031019	Homocysteine S-methyltransferase 2  (Homocysteine S-methyltransferase 3) 
Zm00001d031019	Homocysteine S-methyltransferase 2 
Zm00001d031019	Homocysteine S-methyltransferase 2 
Zm00001d031019	Homocysteine S-methyltransferase 2 
Zm00001d031434	
Zm00001d031434	DNA-damage-repair/toleration protein DRT100 
Zm00001d031435	
Zm00001d031435	p-loop containing nucleoside triphosphate hydrolase superfamily protein 
Zm00001d032233	
Zm00001d032233	Uncharacterized protein 
Zm00001d032265	
Zm00001d032265	WRKY transcription factor  (WRKY69-superfamily of TFs having WRKY and zinc finger domains) 
Zm00001d034179	
Zm00001d034179	Plastoquinol-plastocyanin reductase 
Zm00001d034221	
Zm00001d034221	Formin-like protein 18 
Zm00001d038367	
Zm00001d038367	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase) 
Zm00001d038367	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase) 
Zm00001d038476	
Zm00001d038476	Expansin
Zm00001d038482	
Zm00001d038482	Protein trichome birefringence-like 16 
Zm00001d039379	
Zm00001d039379	Sodium/calcium exchanger family protein / calcium-binding EF hand family protein 
Zm00001d039997	
Zm00001d039997	NPR1 interactor 
Zm00001d042028	
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d042028	Uncharacterized protein 
Zm00001d043196	
Zm00001d043196	DNA glycosylase superfamily protein  (DNA-3-methyladenine glycosylase I) 
Zm00001d043740	
Zm00001d043740	Mitogen-activated protein kinase kinase kinase YODA 
Zm00001d044374	
Zm00001d044374	Uncharacterized protein 
Zm00001d044604	
Zm00001d044604	Putative serine/threonine-protein kinase-like protein CCR3 
Zm00001d045568	
Zm00001d045568	Brassinosteroid-responsive RING-H2  (RING zinc finger protein-like) 
Zm00001d046121	
Zm00001d046121	Putative ENTH/ANTH/VHS superfamily protein 
Zm00001d047096	
Zm00001d047096	Beta-expansin 1a  (Expansin-B4) 
Zm00001d047316	
Zm00001d047316	Putative cytochrome P450 superfamily protein 
Zm00001d047939	
Zm00001d047939	Putative thaumatin domain family protein 
Zm00001d048020	
Zm00001d048020	Hemoglobin1 
Zm00001d048020	Hemoglobin1  (Non-symbiotic hemoglobin 2) 
Zm00001d048774	
Zm00001d048774	Putative polyol transporter 1 
Zm00001d049349	
Zm00001d049349	Protein NRT1/ PTR FAMILY 4.4 
Zm00001d052209	
Zm00001d052209	Glycosyltransferase, EC 2.4.1.-
Zm00001d004843	
Zm00001d004843	Abscisic acid stress ripening2 
Zm00001d004843	Abscisic acid stress ripening2 
Zm00001d004843	Abscisic acid stress ripening2 
Zm00001d004843	Abscisic acid stress ripening2 
Zm00001d004843	Abscisic acid stress ripening2  (Abscisic stress ripening protein 2) 
Zm00001d002038	
Zm00001d002038	Anti-sigma factor antagonist domain of sulfate transporter91 
Zm00001d002038	Anti-sigma factor antagonist domain of sulfate transporter91 
Zm00001d002038	Anti-sigma factor antagonist domain of sulfate transporter91 
Zm00001d002038	Anti-sigma factor antagonist domain of sulfate transporter91 
Zm00001d032776	
Zm00001d032776	Cellulose synthase, EC 2.4.1.12
Zm00001d032776	Cellulose synthase10 
Zm00001d032776	Cellulose synthase, EC 2.4.1.12
Zm00001d032776	Cellulose synthase, EC 2.4.1.12
Zm00001d043477	
Zm00001d043477	Cellulose synthase 11 
Zm00001d043477	Cellulose synthase 11 
Zm00001d043477	Cellulose synthase 11 
Zm00001d020531	
Zm00001d020531	Cellulose synthase, EC 2.4.1.12
Zm00001d020531	Cellulose synthase, EC 2.4.1.12
Zm00001d020531	Cellulose synthase, EC 2.4.1.12
Zm00001d020531	Cellulose synthase 12 
Zm00001d025957	
Zm00001d025957	Salt tolerance-like protein 
Zm00001d036951	
Zm00001d036951	Glutathione transferase19 
Zm00001d006663	
Zm00001d006663	Chlorophyll a-b binding protein, chloroplastic
Zm00001d006663	Chlorophyll a-b binding protein, chloroplastic
Zm00001d007267	
Zm00001d007267	Chlorophyll a-b binding protein, chloroplastic
Zm00001d007267	Chlorophyll a-b binding protein, chloroplastic
Zm00001d007267	Chlorophyll a-b binding protein, chloroplastic
Zm00001d018667	
